timestamp,src_ip,src_port,dst_ip,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,tot_fwd_bytes,tot_bwd_bytes,flow_pkt_rate,flow_byte_rate,syn_flag_cnt,rst_flag_cnt,ack_flag_cnt,label
2026-09-05 10:01:50,192.168.1.12,49166,10.0.0.1,80,6,88000,5,6,410,950,125.0,15454.55,1,0,5,BENIGN
2026-09-05 10:02:00,172.16.0.60,42000,10.0.0.1,22,6,25000,12,14,960,1450,1040.0,96400.0,1,0,12,SSH-Bruteforce
2026-09-05 10:02:04,172.16.0.60,42001,10.0.0.1,22,6,28000,14,15,1100,1520,1035.71,93571.43,1,0,13,SSH-Bruteforce
2026-09-05 10:02:08,172.16.0.60,42002,10.0.0.1,22,6,26000,13,14,1020,1480,1038.46,96153.85,1,0,12,SSH-Bruteforce
2026-09-05 10:02:12,172.16.0.60,42003,10.0.0.1,22,6,27000,13,15,1040,1550,1037.04,95925.93,1,0,13,SSH-Bruteforce
2026-09-05 10:02:18,172.16.0.60,42004,10.0.0.1,22,6,29000,15,16,1150,1620,1068.97,95517.24,1,0,14,SSH-Bruteforce
2026-09-05 10:02:22,172.16.0.60,42005,10.0.0.1,22,6,24000,11,13,920,1390,1000.0,96250.0,1,0,11,SSH-Bruteforce
2026-09-05 10:02:28,172.16.0.60,42006,10.0.0.1,22,6,25500,12,14,980,1460,1019.61,95686.27,1,0,12,SSH-Bruteforce
2026-09-05 10:02:35,192.168.1.10,49167,10.0.0.3,443,6,120000,6,8,550,2300,116.67,23750.0,1,0,7,BENIGN
2026-09-05 10:02:40,172.16.0.60,42007,10.0.0.1,22,6,27500,13,15,1050,1530,1018.18,93818.18,1,0,13,SSH-Bruteforce
2026-09-05 10:02:45,172.16.0.60,42008,10.0.0.1,22,6,26500,12,14,990,1470,981.13,92830.19,1,0,12,SSH-Bruteforce
2026-09-05 10:02:50,172.16.0.60,42009,10.0.0.1,22,6,28500,14,16,1120,1580,1052.63,94736.84,1,0,14,SSH-Bruteforce
2026-09-05 10:02:55,172.16.0.60,42010,10.0.0.1,22,6,24500,12,13,950,1410,1020.41,96326.53,1,0,12,SSH-Bruteforce
2026-09-05 10:03:00,185.220.101.5,51000,10.0.0.1,80,6,150,1,0,40,0,6666.67,266666.67,1,0,0,DDoS-SynFlood
2026-09-05 10:03:01,185.220.101.6,51001,10.0.0.1,80,6,140,1,0,40,0,7142.86,285714.29,1,0,0,DDoS-SynFlood
2026-09-05 10:03:02,185.220.101.7,51002,10.0.0.1,80,6,160,1,0,40,0,6250.0,250000.0,1,0,0,DDoS-SynFlood
2026-09-05 10:03:03,185.220.101.8,51003,10.0.0.1,80,6,130,1,0,40,0,7692.31,307692.31,1,0,0,DDoS-SynFlood
2026-09-05 10:03:04,185.220.101.9,51004,10.0.0.1,80,6,150,1,0,40,0,6666.67,266666.67,1,0,0,DDoS-SynFlood
2026-09-05 10:03:05,185.220.101.10,51005,10.0.0.1,80,6,145,1,0,40,0,6896.55,275862.07,1,0,0,DDoS-SynFlood
2026-09-05 10:03:06,185.220.101.11,51006,10.0.0.1,80,6,155,1,0,40,0,6451.61,258064.52,1,0,0,DDoS-SynFlood
2026-09-05 10:03:07,185.220.101.12,51007,10.0.0.1,80,6,135,1,0,40,0,7407.41,296296.30,1,0,0,DDoS-SynFlood
2026-09-05 10:03:08,185.220.101.13,51008,10.0.0.1,80,6,140,1,0,40,0,7142.86,285714.29,1,0,0,DDoS-SynFlood
2026-09-05 10:03:09,185.220.101.14,51009,10.0.0.1,80,6,150,1,0,40,0,6666.67,266666.67,1,0,0,DDoS-SynFlood
2026-09-05 10:03:10,185.220.101.15,51010,10.0.0.1,80,6,145,1,0,40,0,6896.55,275862.07,1,0,0,DDoS-SynFlood
2026-09-05 10:03:15,192.168.1.10,49168,10.0.0.1,80,6,150000,2,1,160,80,20.0,1600.0,1,0,1,BENIGN
2026-09-05 10:03:20,192.168.1.11,49169,10.0.0.2,443,6,90000,4,5,350,1200,100.0,17222.22,1,0,4,BENIGN
